code,hhi,value,tariffed,phase2
050400,4126.97283498826,17826945,1,1
050510,4254.91638358022,3549499,1,1
050590,2177.52874625999,715474,1,1
050610,10000,8857,1,1
050690,6607.47395117051,1276031,1,1
050790,1518.79885784655,530302,1,1
050800,4193.46933773986,860990,1,1
051000,8578.05610638259,2853371,1,1
051110,4692.67357664524,9188980,1,1
051191,1527.33829764933,23904579,1,1
051199,855.565137972288,50483199,1,1
060110,2182.6348332904,3539332,0,0
060120,8311.21643811932,4763431,0,0
060210,1922.67272553604,14204267,1,1
060220,2523.93159860776,27393584,1,1
060230,6139.41629443078,2898599,1,1
060240,4143.62579033895,7745903,0,0
060290,1516.5894041315,144716441,0,0
060311,9040.34189120321,4010488,1,1
060312,7628.45661356434,116156,1,1
060314,8944.56506878388,59378,1,1
060319,2829.24096251851,978424,1,1
060390,3279.23399427691,344801,0,0
060420,2139.04435574694,14292956,0,0
060490,982.039059987544,1768939,0,0
070110,2425.04116772721,11201161,1,1
070190,1745.88427600433,46268389,1,1
070200,1903.16507305937,392702505,0,0
070310,2220.67209164487,263934206,0,0
070320,4589.73402767673,11580081,1,1
070390,3415.04756075993,5474903,1,1
070410,4908.9165617919,206418431,0,0
070420,6274.2691642248,18488504,0,0
070490,3879.18282439555,121244545,0,0
070511,4971.41584038747,85979656,0,0
070519,5482.35220976631,333691023,0,0
070521,10000,310225,1,1
070529,4683.77269631954,1998704,1,1
070610,3861.26410935106,102626419,0,0
070690,1572.01871827651,15939047,0,0
070700,2641.30524472663,45420811,0,0
070810,4668.82805429142,27778557,0,0
070820,3056.92695277804,51829218,0,0
070890,4266.88484856407,1190525,1,1
070920,5872.89974661531,65660296,0,0
070930,2189.99551322801,29295625,1,1
070940,6328.94501991489,58085971,0,0
070951,4244.91822984765,10266579,0,0
070952,10000,64134,0,0
070953,5861.93537832341,277166,0,0
070954,10000,79503,0,0
070955,5345.49664091091,510449,0,0
070956,4833.62308782078,129324,1,1
070959,3611.92443228663,2392386,0,0
070960,1942.22345585743,340326648,0,0
070970,4876.943954358,60887381,1,1
070991,8373.60194584224,952794,1,1
070992,8644.01249336629,456581,1,1
070993,2892.72355573391,45365590,1,1
070999,2332.10400133973,140892404,0,0
071010,2937.03423097825,2565847,1,1
071021,2045.12152472102,5141494,1,1
071022,5127.88130631103,6765485,1,1
071029,1981.20040598708,261735,1,1
071030,2115.28511864274,3336438,1,1
071040,2107.70022907181,11575512,1,1
071080,1084.54234008473,44321543,1,1
071090,3464.44649956945,13805217,1,1
071120,10000,11358,1,1
071140,9735.65414490591,239834,0,0
071190,5115.19356599208,193129,1,1
071220,6923.49307321664,14523550,1,1
071231,3968.90222767144,805939,1,1
071232,10000,50806,0,0
071233,10000,7783,1,1
071234,4184.67380071064,31821,0,0
071239,3828.40776400733,1144918,0,0
071290,1765.91342163571,36963213,1,1
071310,4053.08332344282,52983082,0,0
071320,4523.09281608788,18949679,1,1
071331,1529.4367357541,454815,0,0
071332,3360.72003204531,2065051,1,1
071333,1843.56562140408,50384234,1,1
071335,8179.89992565392,152044,1,1
071339,2605.61236189905,14351417,1,1
071340,5365.03314574466,103434441,1,1
071350,3495.3663414446,126238,1,1
071360,10000,4201,1,1
071390,2064.8382593524,594248,1,1
071410,3974.74011300097,1722436,1,1
071420,2904.88336078384,59814703,1,1
071430,5999.26915838985,15174410,1,1
071440,3407.34638222886,2553658,1,1
071450,8732.31049854379,462732,1,1
071490,2544.58625924398,3180780,1,1
080111,2800.20668385163,3881282,1,1
080112,3191.96105765879,29847,1,1
080119,2457.46534436564,901316,1,1
080121,10000,24961,1,1
080122,4014.77083176712,3299073,1,1
080131,10000,271061,1,1
080132,2503.39523104185,12188155,1,1
080211,9573.05852244066,740828,1,1
080212,9511.54960854287,132753031,1,1
080221,4575.77623834074,1436117,1,1
080222,9662.71205973933,104098227,1,1
080231,10000,1295155,1,1
080232,9711.45716382101,54401537,1,1
080242,10000,12150,1,1
080251,6964.62472813334,3513663,1,1
080252,5318.96756933828,10482370,1,1
080261,7680.91794550587,170014,1,1
080262,2272.06693078944,1549215,1,1
080280,10000,32073,1,1
080291,9405.10247504575,294331,1,1
080292,5728.84761893288,4792721,1,1
080299,7396.85100606261,59946190,1,0
080310,2669.2023494717,29876818,1,1
080390,1778.37123355453,470291671,1,1
080410,4884.04003828819,20501420,1,1
080420,7421.32856017593,3746585,1,1
080430,1976.11447068658,107522175,1,1
080440,5764.45870999573,157279827,1,1
080450,3425.02739503233,45618319,1,1
080510,7252.44810978044,107142025,1,0
080521,7261.99168617964,40943992,1,0
080522,3503.58158245653,16886564,1,0
080529,3083.78027327196,2520563,1,0
080540,3511.41707961902,7106641,1,0
080550,3382.25536671638,88994802,1,0
080590,7009.65260337742,1331696,1,1
080610,4683.43962385251,373993075,0,0
080620,8571.25413249868,26458935,1,1
080711,1713.91735883626,153692737,1,0
080719,2644.49507606791,97023346,1,1
080720,4614.08050089737,19771737,1,1
080810,8106.30734644587,134098806,0,0
080830,4413.35376043707,34147721,0,0
080840,7030.75342732122,195678,1,1
080910,7982.07643466283,6250818,0,0
080921,4004.20344637991,173124,0,0
080929,4968.16566988498,161776125,0,0
080930,6853.72713476499,80858321,0,0
080940,8632.51357993532,23004038,0,0
081010,5342.02940411702,452897004,0,0
081020,4303.29606789424,356970846,1,1
081030,6102.94799303808,13320,1,1
081040,1390.92840524563,357611485,1,1
081050,3241.68849712872,6884672,1,1
081070,9671.75953771208,8968712,1,1
081090,5526.15727106714,41207944,1,1
081110,2955.55829830898,27517501,0,0
081120,3182.37195312789,20280345,1,0
081190,1770.86815393671,110929848,0,0
081210,6435.93932206788,1637821,1,1
081290,2919.87661104173,37620,1,1
081310,1950.74155598163,789303,1,1
081320,9860.86386561306,12106523,1,1
081330,6849.98955610318,5407707,1,1
081340,1567.81176106435,22216221,1,1
081350,2021.41856192683,2952768,1,1
081400,6910.77245434366,1398251,1,1
090111,1658.97867670775,195733658,1,0
090112,1893.54474291125,3384540,1,0
090121,1311.85063044315,431218246,1,0
090122,1376.93013619026,29318004,1,0
090190,2459.56375593804,774795,1,0
090210,1784.07722098404,11499168,0,0
090220,2163.40913434091,3274020,1,0
090230,2692.47465022673,17030688,0,0
090240,3036.92410237361,5428949,1,0
090300,6115.67897500057,181831,1,0
090411,3691.52256101895,7338812,1,0
090412,2623.30375790328,19740864,0,0
090421,1826.68046655852,2463582,1,0
090422,1328.32255067162,13450210,1,0
090510,4726.94026857557,2588346,1,0
090520,1526.41558522432,563113,1,0
090611,3198.74272147511,318702,1,0
090619,4883.7129627722,1117299,1,0
090620,3179.86803496797,8621619,1,0
090710,2076.49568177751,555059,1,0
090720,6110.69772130485,524867,1,0
090811,4557.95805358921,105689,1,0
090812,7186.85059695765,1165798,1,0
090821,5973.90567267393,25371,1,0
090822,2791.27831049619,59285,1,0
090831,5808.36996453196,201304,1,0
090832,7201.36914124482,272831,1,0
090921,2110.58086305048,359943,1,0
090922,8005.95989044842,570894,1,0
090931,4563.08791476028,234828,1,0
090932,7615.2509966315,2439943,1,0
090961,2899.91675829983,881130,1,0
090962,2309.3911043376,70360,1,0
091011,2709.69378324198,8307414,1,0
091012,2723.90560060805,1198759,1,0
091020,5261.96163692082,368223,1,0
091030,3084.3294968948,1996085,1,0
091091,996.109015505088,1868113,1,0
091099,1315.58721167849,6256780,1,0
100111,10000,6787,0,0
100119,4131.54200523261,602662,0,0
100191,4242.78513745937,621539,0,0
100199,2424.93522471749,23234878,0,0
100210,10000,6917,1,1
100290,8212.81915407066,628546,1,0
100310,3887.1401989175,79522,0,0
100390,9255.4087763408,27623865,0,0
100410,10000,4099,1,1
100490,3083.25656525682,3107206,1,0
100510,2378.16687861828,171117158,1,1
100590,4392.69162800928,448886434,1,1
100610,3637.14383263811,103037,1,1
100620,2522.31436291819,24921952,1,0
100630,3654.133946998,145269984,1,0
100640,8588.29371572941,13615547,1,1
100710,4141.73346762684,309472,1,1
100790,1697.53704543909,2037623,1,1
100810,2511.14883100919,213894,1,1
100821,4660.25604263528,378176,1,1
100829,1374.86996351612,3719915,1,1
100830,10000,31915,1,1
100850,5775.2939823211,9773439,1,1
100860,3583.20124588875,125851,1,1
100890,3919.50381981395,2568695,1,1
110100,1179.39446701206,52255323,0,0
110220,1561.18839857035,25639558,1,1
110290,1379.00796880636,30483561,0,0
110311,7795.60708804197,12775927,0,0
110313,3641.60484734082,18315604,1,1
110319,4774.65185452457,3568941,0,0
110320,8538.70390825809,1392777,0,0
110412,4725.87734624016,9535087,1,1
110419,2798.92765101882,2265329,0,0
110422,2670.07044025083,6964593,1,1
110423,2735.46837404166,1331714,1,1
110429,4249.19544570556,8331291,0,0
110430,4019.5386985587,3043242,0,0
110510,3120.86840439776,7752879,1,1
110520,2550.39868053876,18676005,1,1
110610,2880.1116702925,3803542,1,1
110620,1985.61288026785,9433465,1,1
110630,4425.92788224214,24289932,1,1
110710,1582.9867135779,5897281,0,0
110720,4725.51763924695,1712579,0,0
110811,2724.07814107008,4525501,0,0
110812,2481.81458737438,44638442,1,1
110813,1528.51969030848,3965030,1,1
110814,1846.13089243759,3728105,1,1
110819,1913.84517454415,2533249,0,0
110820,1088.82243536603,4622713,1,1
110900,3930.54778867127,12672959,0,0
120110,2636.2293894858,14414647,1,1
120190,4964.07364255548,98999944,1,1
120230,10000,39000,1,1
120241,4577.97915021405,9820824,1,1
120242,4480.3264622738,152219064,0,0
120400,2543.24490382788,6899847,1,1
120510,3283.94797224142,153747411,1,0
120590,5141.36791398683,1300845,1,1
120600,3300.3440311391,19533925,1,1
120710,10000,30108,1,1
120721,4032.73318393714,374113,1,1
120729,5177.49267305203,1090094,1,1
120740,2031.19248996464,3304758,1,1
120750,7083.15503304797,13626833,1,1
120760,3218.44807704061,1041327,1,1
120770,3649.78134267724,2028626,1,1
120791,4166.38924593349,1064587,1,1
120799,1857.42033176055,15777449,1,1
120810,2950.16294966221,101895885,1,1
120890,2356.3607786514,3437936,1,1
120910,7652.20153397695,9301631,1,1
120921,2309.99530072044,1950181,1,1
120922,6792.68599240477,6628764,1,1
120923,4711.19914040055,13084820,1,1
120924,5501.73665936377,12827929,1,1
120925,5448.82081832627,14173276,1,1
120929,3385.35137235612,13589415,1,1
120930,3562.25135060858,9897356,0,0
120991,2650.45424278356,77992817,0,0
120999,5004.04889445391,4243521,0,0
121010,6080.35819807351,178366,1,1
121020,6323.84830034429,36099768,1,1
121120,4943.75562238695,2751531,0,0
121150,10000,3270,1,1
121160,10000,7457,0,0
121190,1656.66286015977,23009377,0,0
121221,4756.41064747112,1200872,1,1
121229,2620.29919572209,931598,1,1
121291,10000,4566,1,1
121292,4802.63274002472,57790,1,1
121293,3661.40872024176,50435,1,1
121294,7374.43872420715,139118,1,1
121299,1059.49103328007,903393,1,1
121300,2710.2992195139,2262647,1,1
121410,2357.56833425784,134674,1,1
121490,3945.32837770378,31194050,1,1
130120,1759.72071223411,3604025,1,1
130190,2151.15549808263,3580533,1,1
130212,6172.71475727936,1028990,1,1
130213,7259.9578928076,3419165,1,1
130214,7128.29425078056,248601,1,1
130219,2272.7137363162,60416244,1,0
130220,2080.49068423545,13863375,1,1
130231,1457.15794274039,961922,1,1
130232,1577.40044168723,12653875,1,1
130239,1449.47903336867,7547880,1,1
140110,2386.36309172342,244486,1,1
140120,10000,42738,1,1
140190,5336.36561478166,91432,1,1
140420,6240.05675303986,13550,1,1
140490,3610.33039351071,7589441,1,1
150110,9388.29356311001,120382,1,1
150120,10000,2574966,1,1
150190,2542.07226263987,7888678,1,1
150210,5815.23682142419,81001847,1,1
150290,9090.26422998173,309721,1,1
150300,2897.27437362456,74819,1,1
150410,1701.52569759317,1976320,0,0
150420,1740.11181958426,73745238,1,0
150500,2066.67159194021,1099625,1,1
150600,7666.37973652258,4362098,1,1
150710,3226.3939144328,6771988,1,1
150790,1647.08616816208,80754046,1,1
150810,8550.55362940155,826012,1,0
150890,3090.32507921363,8459022,1,1
150920,1805.57815071951,15071185,1,1
150930,2310.56056723879,103187,1,1
150940,9083.26896245628,1734699,1,1
150990,4473.6190082552,21605023,1,1
151010,10000,17008,1,1
151090,6921.33861109017,866937,1,1
151110,10000,23424,1,1
151190,1803.25142045565,124367086,1,0
151211,4427.95042684334,260682,1,1
151219,1831.47358466233,47527992,0,0
151229,3652.90924353075,188100,1,1
151311,5398.49254237318,2276268,1,1
151319,3300.09532009961,37414226,0,0
151329,3525.07986018821,26122138,0,0
151411,3505.11656847472,2264872,1,0
151419,1190.2737045131,24942329,1,0
151491,5784.76252629278,75969,1,0
151499,2483.15233708595,2014235,1,0
151511,3772.41902550894,1080642,1,1
151519,2293.54446785082,1345654,0,0
151521,9124.72743918257,29010502,1,1
151529,3885.69548196032,11710219,1,1
151530,2360.59300192553,9365856,1,1
151550,3461.17948130276,4859959,0,0
151560,3761.27419346913,2010866,1,1
151590,3632.50808297962,71126214,1,1
151610,6862.65319457571,629508,1,1
151620,1251.28951218427,45044284,1,1
151630,7936.54056822913,510504,1,1
151710,4734.93576005298,3490821,0,0
151790,1082.4495103754,116903076,0,0
151800,1842.93403829909,32781325,1,1
152000,2214.03342615641,6082817,1,1
152110,2133.4922260373,5734091,1,1
152190,3833.67377193352,1524412,1,1
152200,5745.35168201635,194581,1,1
160100,1998.27888207361,276923355,0,0
160210,5610.98759189533,18849,0,0
160220,4710.78752982444,343915,0,0
160231,3454.73949139746,9840395,0,0
160232,1997.58234445334,107328632,0,0
160239,7333.15425716635,230940,0,0
160241,3200.57621211324,28476572,0,0
160242,4556.62313759177,2985003,0,0
160249,2498.90667832662,223453480,0,0
160250,1169.20306703028,213747841,0,0
160290,5937.06857797826,522419,0,0
160300,2440.22190712008,4917417,0,0
160411,4097.42838279163,49130854,1,1
160413,5242.90519803454,65985,0,0
160414,4960.1577809306,2683436,0,0
160416,5203.04218479772,122800,0,0
160417,10000,26132,1,1
160419,4188.90880385455,20722993,0,0
160420,3907.1249596935,32228791,0,0
160431,10000,844129,1,1
160432,5611.62490605322,2445360,1,1
160510,1300.45704232428,3983151,1,1
160521,1639.01660486917,7023361,1,0
160529,2907.5152520808,527309,1,1
160530,3616.58397134916,2050141,0,0
160540,6668.31712968375,13486,0,0
160551,3789.58269353687,35554,1,1
160552,3928.9339829472,334705,1,1
160553,2790.67296331172,224276,1,1
160554,2917.71616779271,441151,1,1
160555,4523.00616077227,126809,1,1
160556,4546.78457880104,2404896,1,1
160557,10000,712980,1,1
160558,8571.14915672061,48270,1,1
160559,4377.01847707868,70640,0,0
160561,8268.39103188123,39771,1,1
160569,4203.2152370478,83953,1,1
170112,5446.50258975382,68403,0,0
170113,4830.24809452728,27691,0,0
170114,2750.31694519706,2561482,1,0
170191,2138.541545292,4571604,0,0
170199,1221.42623048452,8862584,0,0
170211,4549.25616730589,5458955,1,1
170219,7560.49443375838,2697013,1,1
170220,3898.2174985064,8484630,1,0
170230,1856.83263402102,98993309,0,0
170240,3037.41848449385,5520995,1,1
170250,5631.36207084551,3513975,1,1
170260,3449.84079735175,65132769,1,1
170290,1455.9903744014,51285970,0,0
170310,1608.12568556351,6350324,0,0
170390,2066.62928330711,10289149,0,0
170410,4421.5113912971,9015641,1,0
170490,985.554278631231,357938618,0,0
180100,4135.86072821404,436529867,1,1
180200,6233.26348912596,20991,1,1
180310,4170.76720246454,75815727,1,1
180320,8987.37918577521,189335,1,1
180400,5383.46808736133,214016236,1,1
180500,4716.94760451304,80016944,1,1
180610,3343.47855871768,11285257,0,0
180620,2236.82648383047,325053082,0,0
180631,1582.10233586511,71653671,1,0
180632,1373.27293084669,114614004,1,1
180690,1828.86792112598,394444257,0,0
190110,3083.59134001708,241614944,0,0
190120,1066.24537767197,239493015,0,0
190190,854.61113294242,194415772,0,0
190211,1473.85392921058,4654710,0,0
190219,2024.19844278694,110397696,0,0
190220,2064.86259458061,110600427,1,1
190230,2442.21307421808,150063808,0,0
190240,9476.59184463517,1072329,0,0
190300,1591.45117239048,2304564,1,1
190410,768.152698938054,423901722,0,0
190420,2742.33782564617,35291282,0,0
190430,6326.04371891337,1005126,0,0
190490,1870.67952437455,62353992,0,0
190510,1701.24775034172,2930788,0,0
190520,2342.44005554141,807694,1,1
190531,1207.91757412424,128591825,0,0
190532,2206.88240713994,71839001,0,0
190540,1267.94299637871,35069486,0,0
190590,604.76919653078,1287274030,0,0
200110,4037.98450860635,72881520,1,0
200190,1751.59612853756,42285056,0,0
200210,8209.78087866407,49278833,1,1
200290,8825.97703021189,60804490,1,1
200310,7221.45889724863,495463,1,1
200390,3703.95850559811,476748,0,0
200410,1785.06288180291,70653477,1,1
200490,2026.651229681,50493795,0,0
200510,4485.72971457603,2516066,1,1
200520,1628.81942441702,143203233,1,1
200540,3201.39803344967,265006,1,1
200551,2716.88460148898,17799465,0,0
200559,3843.3206039374,4275257,1,1
200560,10000,4656,1,1
200570,3058.61802000541,4195668,0,0
200580,3937.91176159016,2006724,1,1
200591,5897.35646744043,98569,1,1
200599,1684.94158168009,70690187,0,0
200600,2755.66197715503,1501895,0,0
200710,5303.63120039104,1525887,1,1
200791,5852.90438635385,3878885,1,1
200799,3289.42566432662,110877471,0,0
200811,1666.82491970987,70732796,0,0
200819,2288.52455608734,406648100,0,0
200820,2796.54444274861,927389,1,1
200830,3275.52551102811,9404902,1,1
200840,4179.70348400144,1038947,0,0
200850,4766.53714610285,91855,0,0
200860,4921.01437916688,11534335,0,0
200870,3486.06036623842,2664667,0,0
200880,1779.64710403589,4767685,1,1
200891,7546.15255147873,67885,1,1
200893,2946.43665941816,32119147,1,1
200897,1326.27030262431,125059490,0,0
200899,1451.07218929971,93613715,0,0
200911,2153.8862418454,94015715,1,1
200912,2803.53823039333,135671400,1,0
200919,3764.13001240602,17266174,1,1
200921,3158.40191970328,3962538,1,1
200929,4692.26704986072,2526942,1,1
200931,2864.23434254174,20082409,1,1
200939,2401.77428072769,11674378,1,1
200941,7957.30210296278,531223,1,1
200949,2672.67760303752,2924059,1,1
200950,10000,4358,1,1
200961,2399.3359309047,3566080,0,0
200969,2952.88478943925,23041455,0,0
200971,5299.28285285943,6232363,0,0
200979,4197.65459560742,23271821,0,0
200981,2138.86359321831,12170147,1,1
200989,1689.78695105452,37875836,0,0
200990,1590.20614918756,48596159,0,0
210111,1370.83708695736,46507773,0,0
210112,4203.95017551737,74433858,1,1
210120,1177.9087992947,32298004,1,1
210130,4546.38132786563,368129,1,1
210210,3830.24974593015,18643881,1,1
210220,1351.64442150506,24213904,1,1
210230,2670.66879162554,16617526,1,1
210310,3283.48240466399,35834417,1,0
210320,1310.78935018661,198830767,0,0
